Perfume;Brand;Gender;Age_Group;Top;Middle;Base
mexx-city-breeze-for-him;mexx;men;Youth (15-25);basil, apple, grapefruit;sage, violet leaf;cedar, patchouli, vetiver, moss
sea-side;toni-gard;men;Adult (25-40);bergamot, lemon, pink pepper, grapefruit, mandarin orange;sea notes, sage, tea, lavender;musk, sandalwood, amber
fatale-orchid;agent-provocateur;women;Adult (25-40);apricot, lemon, bergamot;rose, plum, magnolia, hawthorn;suede, patchouli, vanilla, amber
kashkha-7;arabian-oud;women;Adult (25-40);cumin;egyptian musk;lemon peel, aloe vera
vanesya;arteolfatto;women;Adult (25-40);narcissus, mango, peach, mandarin orange;peony, osmanthus, rose, pink pepper;white musk, ambrette (musk mallow), patchouli
unholy-oud;borntostandout;unisex;Mature (40+);incense, lemon, bergamot;laotian oud, turkish rose, bulgarian rose;sandalwood, patchouli, vanilla, palisander rosewood, tonka bean, heliotrope
orange-chic;castelbajac;women;Adult (25-40);grapefruit, lime, italian orange, mandarin orange;neroli, orange blossom;musk
sensational-luxe-blossom;celine-dion;women;Adult (25-40);plum, freesia;rose, magnolia, jasmine;sandalwood, patchouli, musk, vetiver
flormania;agatha-ruiz-de-la-prada;women;Youth (15-25);citruses, green apple, passionfruit, orange blossom;jasmine, magnolia, honeysuckle;white musk, sandalwood, cedar
dkny-be-delicious-violet-pop;donna-karan;women;Youth (15-25);apple, galbanum, bergamot;violet leaf, magnolia, orange blossom;iris, patchouli, styrax
turn-1-eau-de-toilette;f1-parfums;unisex;Mature (40+);angelica, mandarin orange, aromatic spices;oakmoss, violet leaves;woody notes, patchouli
mais-souffle;le-monde-gourmand;unisex;Youth (15-25);apple;popcorn;butter
shining-moon;perris-monte-carlo;unisex;Adult (25-40);pink pepper;magnolia, rose, jasmine;iso e super, cashmeran, musk, virginian cedar, sandalwood
water-lily;lanvin;women;Adult (25-40);pink grapefruit, pomegranate;water lily, water jasmine;musk, sandalwood
doraphilia;miguel-matos;unisex;Mature (40+);aldehydes, lilac, bergamot;leather, iris, narcissus, mimosa, ylang-ylang, rose;russian leather, cedarmoss, civet, costus, castoreum, patchouli
la-piscine;miguel-matos;unisex;Mature (40+);water notes, aldehydes;coconut, geosmin, sea water, tuberose, violet leaf, jasmine;cashmeran, costus, moss, ambroxan
girasole;l-erbolario;unisex;Adult (25-40);bergamot, aquatic notes, lemon;sunflower, ginger, orange blossom;honey, vanilla
royal-rose;korloff-paris;women;Mature (40+);bergamot, mandarin orange, pink pepper;rose, elemi, incense;woody notes, sandalwood, patchouli
tender-peach;j-scent;unisex;Youth (15-25);green notes, lemon, lime;peach, tuberose, rose;sandalwood, musk, raspberry
flora-carnivora;henry-rose;unisex;Adult (25-40);neroli, african orange flower;jasmine sambac, tuberose;musk, haitian vetiver, amber, texas cedar
tuberose;giardino-benessere;unisex;Youth (15-25);apricot, sweet orange, water jasmine;tuberose, jasmine, ylang-ylang;musk, cedar, guaiac wood
luminous;ghost;women;Youth (15-25);melon, pineapple, green apple, orange, red apple, black currant, bergamot;jasmine, rose, freesia, raspberry leaf, lily-of-the-valley, violet;peach, raspberry, sandalwood, vetiver
romantica;furla;women;Adult (25-40);black currant, davana, coriander;peony, jasmine, mugane;patchouli, vanilla, sandalwood
in-the-rain;floraiku;unisex;Adult (25-40);bergamot;cedar;woody notes, musk
evamour;eva-longoria;women;Youth (15-25);red apple, red currant, bergamot;rose, peony, frangipani, lily;orchid, woodsy notes, musk, amber
0-9;byron-parfums;unisex;Adult (25-40);saffron, spicy notes, bergamot;almond;amber, sandalwood, vanilla
oud-loukoum;bortnikoff;unisex;Mature (40+);dried fruits, tobacco;ylang-ylang;peru balsam, agarwood (oud), guaiac wood, cedar, indian oud
aromadisiac-for-him;avon;men;Mature (40+);coriander, wormwood, sicilian bergamot;fig, sage, cypress, rosemary;patchouli, leather, resins, caraway, nutmeg, vetiver
masculine-woody;avon;men;Youth (15-25);red apple, star anise, lavender;sandalwood, cashmere wood, tea tree oil;cedar, vetiver, patchouli
stamina;avon;women;Youth (15-25);raspberry, tangerine, pear, grapefruit;jasmine, freesia, rose, lily-of-the-valley;amber, musk, sandalwood
lil-fleur;byredo;unisex;Mature (40+);saffron, cassis, tangerine;damask rose, leather;ambergris, woody notes, vanilla
iced-green-tea;elizabeth-arden;women;Adult (25-40);mint, bergamot, lemon;eucalyptus, orange, mandarin orange;mint, amber, musk
uncut-gem;frederic-malle;men;Mature (40+);ginger, bergamot, angelica, mandarin orange, nutmeg;vetiver, olibanum, leather;musk, amber
emporio-armani-in-love-with-you-freeze;giorgio-armani;women;Adult (25-40);mandarin orange, cherry, bergamot, pear;peony, jasmine sambac, lily-of-the-valley;patchouli, woody notes, white musk, vetiver
arancia-ambrata;gritti;unisex;Adult (25-40);calabrian bergamot, blood orange, spices;vetiver, jasmine, rose;vetiver, sandalwood, vanilla, amber
made-to-measure;gucci;men;Mature (40+);lavender, calabrian bergamot, tunisian orange blossom, anise;plum, juniper berries, cinnamon, nutmeg, water lily;leather, amber, patchouli, labdanum
daisy-eau-so-fresh-pop;marc-jacobs;women;Youth (15-25);lemon, lime, pear;raspberry, violet, rose;moss, cedar, musk
pretty-fruity;montale;unisex;Adult (25-40);passionfruit, black currant, citruses;magnolia, lily;musk
infusion-de-figue;prada;unisex;Adult (25-40);mandarin orange;fig;galbanum, mastic or lentisque
crazy-kiss;salvador-dali;women;Adult (25-40);peach, grapefruit, bergamot;rose, jasmine, lily-of-the-valley;musk, sandalwood, vanilla
little-kiss-me;salvador-dali;women;Adult (25-40);lotus, water notes, bamboo;peony, spices, magnolia;musk, iris, woodsy notes
casafutura;xerjoff;unisex;Adult (25-40);rosemary, lavender;geranium, rose, skeleton flower (diphylleia grayi);cedar, musk, sandalwood
zara-vetiver;zara;men;Adult (25-40);bergamot, tangerine, grapefruit;vetiver;woodsy notes, musk
dancing-lady;oriflame;women;Adult (25-40);pear, peach, litchi, mandarin orange, mexican chocolate;orchid, peony, ylang-ylang;musk, vanille, cedar
incognito-for-him;oriflame;men;Adult (25-40);ground cherry;cedar needles;patchouli
oasis-warm-sunset;oriflame;women;Adult (25-40);freesia, star anise, violet, rose;jasmine, cashmere wood;amber, woody notes, vanilla
tenderly;oriflame;women;Adult (25-40);clover, mandarin blossom, blackberry;magnolia, chamomile, poppy, orchid;heliotrope, sandalwood, vanilla
white-luminous-gold;michael-kors;women;Adult (25-40);pear;jasmine;amber
solar-canopy;future-society;unisex;Adult (25-40);red currant, pink pepper, bergamot;litchi, turkish rose, pistachio, magnolia;ambroxan, vetiver, sugar
diavolo-per-donna;antonio-banderas;women;Adult (25-40);green tea, green leaves, grapefruit;nectarine, rose hip, violet;sandalwood, plum, musk
blue-fresh-seduction-for-women;antonio-banderas;women;Youth (15-25);bergamot, green apple, lemon;peony, big strawberry, gardenia, lily-of-the-valley, jasmine;musk, benzoin, cedar
bouquet-d-aurore;faberlic;women;Adult (25-40);black currant, grapefruit, lemon;jasmine, magnolia, cloves;musk, amber, cedar
chocolate-story;faberlic;women;Mature (40+);white chocolate, cinnamon, citruses, almond;mexican chocolate, plum, floral notes;caramel, vanille, sandalwood, amber, oakmoss
magnetic-for-him;mexx;men;Adult (25-40);wormwood;water notes;patchouli, woodsy notes
nanatopia;borntostandout;unisex;Youth (15-25);rum, nutmeg, cinnamon;banana, bread, caramel;tonka bean, cypriol oil or nagarmotha, orcanox
lavender;bronnley;women;Adult (25-40);lavender, rosemary, eucalyptus;geranium, rose, orange blossom;patchouli, moss
oudh-sensuel;comptoir-sud-pacifique;unisex;Adult (25-40);rose petals;saffron, sandalwood;agarwood (oud), patchouli, white musk
eau-hyper-fraiche;courreges;unisex;Adult (25-40);bergamot, citron, mandarin orange;petitgrain, jasmine, mint;moss, cedar, patchouli
pamplemousse-grenade;adopt-parfums;women;Adult (25-40);grapefruit, pomegranate;peony, lily-of-the-valley;musk, tonka bean
solace;ajmal;women;Adult (25-40);citruses;geranium, lavender;cedar, amber, musk
bling;ajmal;women;Adult (25-40);cinnamon;rose, guaiac wood;patchouli, musk
baaqa;ajmal;women;Adult (25-40);saffron, mandarin orange, musk;floral notes, jasmine;agarwood (oud), sandalwood, amber
diesel-green-masculine;diesel;men;Mature (40+);green notes, fir, canadian fir;jasmine, blue rose, mandarin orange, cyclamen, iris, orchid, carnation, geranium, ginger;sandalwood, musk, cedar, incense, amber
dkny-be-delicious-kisses;donna-karan;women;Mature (40+);red apple, cucumber, grapefruit;lily-of-the-valley, tuberose, violet, rose, magnolia;amber, sandalwood, leather
neeeum-white-eau-de-toilette;f1-parfums;unisex;Mature (40+);juniper berries, clary sage, black pepper;iris, lavender, narcissus;leather, milk, vetiver, tonka bean
tropiques;fragrance-du-bois;unisex;Youth (15-25);tropical fruits, bergamot, mandarin orange;mahonial, lavender, rose;musk, amber, caramel
o-des-soupirs;laurent-mazzone-parfums;unisex;Adult (25-40);hyacinth, rose, hawthorn;peony, water lily, african orange flower;heliotrope, musk
champaca-supercritique;les-eaux-primordiales;unisex;Adult (25-40);plum;ylang-ylang, champaca, magnolia;orris, cloves, labdanum, cinnamon
lamya;nabeel;unisex;Adult (25-40);lemon;rose, saffron;agarwood (oud), teak wood, amber, vetiver, white musk
appelez-moi-seychelles;pierre-guillaume-paris;unisex;Adult (25-40);white flowers, frangipani, salt;lily, coconut milk, monoi oil;petitgrain, galbanum, ginger, black pepper
sunshine-lys;princesse-marina-de-bourbon;women;Youth (15-25);water hyacinth, lemon, violet leaves;big strawberry, egyptian jasmine, lily-of-the-valley;vanilla orchid, musk, amber
12-eau-d-epices;tauer-perfumes;unisex;Mature (40+);cardamom, coriander, clove, mandarin orange, cinnamon;african orange flower, incense, orris root, jasmine;vetyver, amber, french labdanum, tonka bean
magnifico;tonatto-profumi;women;Adult (25-40);fig, amalfi lemon, orange;lavender, myrhh, ylang-ylang;licorice, sandalwood
always-with-you;sergio-tacchini;women;Youth (15-25);bergamot, lemon, apple;lily-of-the-valley, red berries, rose;cedar, musk, sandalwood
pure-police-pure-dna-femme;police;women;Adult (25-40);violet, jasmine, green leaves;clove, sandalwood, patchouli;vanille, musk, virginia cedar
ozone;max-philip;unisex;Adult (25-40);bergamot, lily-of-the-valley;violet, cedar;musk, vanilla
near;gap;women;Adult (25-40);mandarin orange;peach, peony;musk
miss-fiorucci-only-love;fiorucci;women;Adult (25-40);peach, black currant, mandarin orange;rose, passionfruit, coriander;black fig, sandalwood, musk
kaoriaka;dilis-parfum;women;Youth (15-25);litchi, raspberry;rose, green apple, patchouli;leather, vanilla, amber
sexy-twenty;dilis-parfum;women;Youth (15-25);raspberry, wild strawberry, black currant, cassis, pink grapefruit;pink peony, violet, lily, lily-of-the-valley;vanilla, cashmere wood, musk
pirates;byron-parfums;unisex;Adult (25-40);pear, bergamot;tuberose, ylang-ylang, jasmine;patchouli, white musk, amber
club-de-nuit-urban-man;armaf;men;Mature (40+);bergamot, mint, grapefruit, cardamom;lavender, cedar, nutmeg, ginger;patchouli, vetiver, sandalwood, oakmoss
aqua-for-her;avon;women;Adult (25-40);water notes, fruity notes;blue lotus;musk
my-vibe;avon;men;Adult (25-40);melon, cardamom, mandarin orange;basil, sage, lily-of-the-valley;cedar, patchouli, ambergris
avon-luck-limitless-for-her;avon;women;Adult (25-40);pomelo;passion flower;amber
musk-fire;avon;men;Adult (25-40);basil, bergamot;cardamom, pepper;musk
cherish;avon;women;Youth (15-25);pink pepper, raspberry, bergamot;cherry blossom, jasmine sambac, mimosa;tiare flower, white musk, sandalwood
omnia-by-mary-katrantzou;bvlgari;women;Adult (25-40);fig leaf, mandarin orange;orange blossom, gardenia;musk, white woods
calvin-klein-women;calvin-klein;women;Youth (15-25);grapefruit, eucalyptus, bergamot, lemon, black pepper;orange blossom, tea, jasmine, magnolia, hedione, raspberry;cedar, ambroxan, white musk, cashmeran, olibanum, violet
eternity-for-men-reflections;calvin-klein;men;Mature (40+);absinthe;chocolate;oakmoss, sandalwood
clean-shower-fresh;clean;women;Adult (25-40);lemon, mandarin orange, orange;orange blossom, lily-of-the-valley, jasmine;musk, woody notes
velvet;commodity;unisex;Adult (25-40);rose petals, almond, black amber;musk;amber, labdanum, patchouli
champion;davidoff;men;Mature (40+);bergamot, lemon;clary sage, galbanum;oakmoss, cedar
bronze-goddess-soleil;estee-lauder;women;Adult (25-40);amalfi lemon, tangerine, bergamot, petitgrain, lavender;jasmine, african orange flower, neroli, pitosporum, lily;ambrette (musk mallow), musk, iris, woodsy notes
la-petite-robe-noire-2;guerlain;women;Mature (40+);red berries, galbanum, litchi, bergamot, lemon;marshmallow, iris, violet leaf, orange blossom;leather, musk, sandalwood
lipstick-fever;juliette-has-a-gun;women;Youth (15-25);raspberry, violet;iris, patchouli;cedar, vanilla
uomini-infinite;o-boticario;men;Mature (40+);cardamom, metallic notes, sicilian lemon, orange, bergamot, pineapple, mandarin orange;leather, lavender, jasmine;vetiver, sandalwood, oakmoss, cedar, patchouli, musk, labdanum, vanilla, amber
daliflor;salvador-dali;women;Adult (25-40);lemon verbena, violet, grapefruit, mandarin orange;rose, lily-of-the-valley, jasmine;musk, sandalwood, vanilla
dalistyle;salvador-dali;women;Adult (25-40);lotus, pear, mandarin orange, orange, black currant;freesia, gardenia, peach blossom;pear, musk, cedar, sandalwood, berry fruits, vanilla
deified-tony-iommi-signed-edition;xerjoff;unisex;Mature (40+);cinnamon, saffron, apple;leather, rose;moss, patchouli, papyrus, musk
aura-swarovski-eau-de-toilette;swarovski;women;Adult (25-40);litchi;rose, jasmine, tuberose;pink pepper, musk, amber, benzoin
city-oasis;oriflame;women;Youth (15-25);red apple, plum, black currant;floral notes, lily, violet;caramel, sandalwood, patchouli, musk
vetiver;granado;unisex;Adult (25-40);violet, black pepper, lily;vetiver, tiare flower, peony;vetiver, cedar, amber
dans-ma-bulle-de-fleurs;carven;women;Youth (15-25);rose, pear, litchi, green apple, mandarin orange;sweet notes, freesia, lotus, peony;musk, cashmirwood, crystal amber
rose-glacee;armand-basi;women;Youth (15-25);grapefruit, granny smith apple, amalfi lemon;taif rose, apricot, cinnamon;musk, woodsy notes, amber
rose-lumiere;armand-basi;women;Adult (25-40);watery notes, fruity notes, ivy, mandarin orange;rose water, water lily, cyclamen;white musk, sandalwood, cedar
perry;brocard;women;Youth (15-25);green pepper, apple, gardenia;pear, white willow, heliotrope;musk, iris, plum
mechta;brocard;women;Adult (25-40);grass, violet, hyacinth;lime (linden) blossom, mimosa, clover, magnolia;honey, musk, cedar
the-russian-princess-russkaa-knazna;brocard;women;Youth (15-25);cranberry, raspberry, citruses, strawberry;black tea, violet, rose, iris;driftwood, cedar, oakmoss, sandalwood
fantaisie;faberlic;women;Adult (25-40);pink grapefruit, bergamot, clementine;freesia, rose, daisy, violet;cedar, musk, amber
vent-d-aventures;faberlic;men;Adult (25-40);sea water, grapefruit, tangerine, bergamot;sage, nutmeg, basil, pink pepper;cedar, musk, agarwood (oud), guaiac wood, labdanum, amber
8-element;faberlic;men;Mature (40+);sea water, pineapple, mandarin orange, melon, black currant, bergamot, tangerine;lavender, lily-of-the-valley, jasmine, violet, violet root;teak wood, oakmoss, leather, vetiver, patchouli, sandalwood
kaori-bamboo;faberlic;women;Adult (25-40);ozonic notes, mandarin orange, black currant, saffron;white tea, bamboo, iris, jasmine;musk, tonka bean, amber, cedar
sportlife-active;faberlic;women;Youth (15-25);tangerine, black currant, lemon;peach, apple, rose, freesia, lily-of-the-valley;cedar, white musk, ambergris, sandalwood
iceberg-white;iceberg;women;Youth (15-25);bergamot, grapefruit, pear;raspberry, peony, violet;bourbon vetiver, musk, white woods
blue-glow-by-jlo;jennifer-lopez;women;Adult (25-40);orange, mangosteen;water notes, water lily, orchid, tincture of rose;oak moss, sandalwood, mahogany, virginia cedar, tonka bean
l-12-12-eau-de-toilette-rose-eau-fraiche-for-her;lacoste-fragrances;women;Adult (25-40);grapefruit, blood orange;ozonic notes, black currant, pink pepper;cedar, cinnamon
mexx-fresh-woman;mexx;women;Adult (25-40);mandarin orange;water lily, pink nerium oleander, silk tree blossom;virginia cedar
aphrodisiaque;agent-provocateur;women;Adult (25-40);white pepper, blackberry, jasmine;black locust honey, vanilla orchid, night blooming cereus;resins, musk
pure;boadicea-the-victorious;unisex;Adult (25-40);bergamot, tropical fruit;jasmine, juniper berries, tincture of rose;oak moss, sandalwood, amber
aloha-tiare-eau-de-parfum;comptoir-sud-pacifique;women;Adult (25-40);frangipani;tiare flower, ylang-ylang, tuberose, patchouli, lotus;coconut, vanille, benzoin, musk
cuba-city-hollywood-for-men;cuba-paris;men;Adult (25-40);bergamot, ginger, cardamom, rosemary;geranium, coriander, orris root, nutmeg;patchouli, musk
only-the-brave-wild;diesel;men;Adult (25-40);lemongrass, grapefruit, black pepper;nutmeg, lavender, coumarin, geranium;coconut milk, moss, cedar, vetiver
dkny-women-summer-2011;donna-karan;women;Adult (25-40);grapefruit, red berries, passionfruit;litchi, magnolia, jasmine;musk, sandalwood, teak wood
accra;gallivant;unisex;Mature (40+);chili pepper, cognac, eucalyptus, carrot seeds, papaya, davana, mango, passionfruit;tobacco, saffron, cacao, coffee co2, styrax;leather, patchouli, cedarwood, liatrix, vinyl, musk
forever;laura-biagiotti;women;Youth (15-25);pear, pink pepper, black currant, bergamot, apple;praline, tuberose, rose, violet, lily-of-the-valley;vanilla, tonka bean, benzoin, musk
vanille-framboise;laurence-dumont;women;Youth (15-25);amalfi lemon, pear;rose, jasmine;raspberry, vanille
lady-danger;mac;women;Adult (25-40);sour cherry, tangerine;black amber, tyger lily, jasmine;patchouli, saffron
naomi-campbell-wild-pearl;naomi-campbell;women;Youth (15-25);apple blossom, watermelon, peach;jasmine, violet, pink pepper;musk, vanille, virginia cedar
sonnet-xvii;olympic-orchids-artisan-perfumes;unisex;Mature (40+);champaca, mastic or lentisque, cubeb or tailed pepper, citron;osmanthus, orchid;nard himalayan (jatamansi), ambergris, musk, oakmoss, woody notes, haitian vetiver, bourbon vanilla
lanvin-me;lanvin;women;Adult (25-40);blueberry, mandarin orange;licorice, tuberose, rose;sandalwood
varens-desire;ulric-de-varens;women;Adult (25-40);water hyacinth, ivy, peach, litchi;jasmine, freesia, rose, iris;musk, sandalwood
cosmic-wood;tory-burch;women;Adult (25-40);ambrette (musk mallow), cardamom;jasmine, sage;vetiver
sacred-groove;the-house-of-oud;unisex;Mature (40+);angelica, bitter orange;labdanum, lavender, iris, turkish rose, jasmine;musk, spicy notes, patchouli, amber, vanilla, myrrh, woody notes, tonka bean
lime-sands;skylar;unisex;Adult (25-40);lime, sea salt, verbena;coconut water, lily-of-the-valley, orange blossom;driftwood, musk, vanilla
replay-your-fragrance-for-her;replay;women;Mature (40+);orange, bergamot, freesia;cassis, red berries, big strawberry, rose, orchid;leather, virginia cedar, sandalwood
perry-man;perry-ellis;men;Youth (15-25);bergamot, lime, neroli, apple;rose, patchouli, teak wood;musk, vanilla, labdanum
poem;parfums-genty;women;Adult (25-40);green notes, orange, peach, coconut;violet, rose, lily-of-the-valley, rice;musk, almond, sandalwood
bella-bouquet;oscar-de-la-renta;women;Adult (25-40);bamboo, green tea, clementine, peach;magnolia, jasmine sambac, iris, rose;musk, sandalwood, tonka bean, cedar
amorous-intense;navitus-parfums;unisex;Youth (15-25);apple, pear, almond;rum, ylang-ylang, coffee;sugar cane, caramel, whipped cream, cinnamon
lautus;navitus-parfums;unisex;Adult (25-40);lavender, yuzu, lemon verbena, neroli;orris root, cascarilla, juniper berries, freesia;vanilla, palisander rosewood, sandalwood, patchouli, ambergris, musk
nameless;mark-buxton;unisex;Adult (25-40);lavender, cardamom, mandarin orange, orange blossom;cinnamon, coffee, clove, jasmine;cedar, benzoin, woodsy notes, amber, french labdanum, guaiac wood, patchouli
iris-bouquet;mahogany;women;Youth (15-25);apple, black pepper, passion flower, lemon, mandarin orange, bergamot;iris, iris petals, lily-of-the-valley, watery notes, ylang-ylang, cedar needles, jasmine, cyclamen, coriander, rose, magnolia;musk, patchouli, vanilla, cedar, amber, sandalwood, vetiver
cretus;lpdo;unisex;Mature (40+);bergamot, pineapple, black currant, apple;birch, juniper berries, jasmine, patchouli;musk, vanilla, oakmoss, ambergris
cash-for-man;la-rive;men;Adult (25-40);blood mandarin, grapefruit, peppermint;cinnamon, spices, rose oil;woody notes, patchouli, amber, skin
j-aime-les-fleurs;la-perla;women;Youth (15-25);freesia, green apple, grapefruit, violet leaf;peony, peach, hawthorn;musk, sandalwood, amber
un-soir-a-paris;korloff-paris;women;Youth (15-25);bergamot, coriander, grapefruit;white peach, rose, jasmine;patchouli, marshmallow, tonka bean
esprit-de-fleurs;frapin;women;Mature (40+);bergamot, grapefruit, tangerine;rose, pepper, basil, plum, jasmine, iris, pink pepper;vetiver, oakmoss, vanilla, patchouli
atlantica-femme-taboo;dilis-parfum;women;Youth (15-25);tropical fruits, watery notes, grapefruit, bergamot;cinnamon, praline, jasmine, orange blossom;patchouli, sandalwood, cedar, musk
x-pose-glamour;christina-aguilera;women;Adult (25-40);fruity notes, peach;freesia, violet, jasmine;musk, patchouli, vanille
tornade-blonde;christian-louboutin;women;Adult (25-40);rhubarb, violet leaf, cassis, ambrette (musk mallow);bulgarian rose, jasmine sambac, gardenia, orange blossom;ambergris, cedar, sandalwood, patchouli
b-blumarine;blumarine;women;Adult (25-40);pink grapefruit, pear, cassis;jasmine, may rose, passion flower;musk, cedar, sandalwood
9pm-pour-femme;afnan;women;Youth (15-25);raspberry, violet, apple, orange;rose, iris, peony, jasmine;cypress, pine, cedar, amber
instinct-for-him;avon;men;Adult (25-40);mandarin orange;sage;ebony
local-nature-jasmine;avon;unisex;Adult (25-40);jasmine;sesame;cedar
titanium-flame;avon;men;Adult (25-40);pepper, citruses;lavender, musk, cedar;amber, vetiver, patchouli
today-tomorrow-always-in-love;avon;women;Adult (25-40);lotus, neroli, carambola (star fruit), pomegranate;pink tulip, gardenia, tuberose, pepper;musk, woodsy notes, amber
spring-flower-2023;creed;women;Adult (25-40);lemon, grapefruit, green notes, bergamot;white flowers, jasmine, apricot, peach;ambergris, musk, cedar
green-tea-bamboo;elizabeth-arden;women;Adult (25-40);bamboo, lemon, grapefruit, bergamot, galbanum, tamarind;green tea, cucumber, syringa, violet leaf;mate, woody notes, musk, mastic or lentisque, orris root
christos;giardini-di-toscana;unisex;Mature (40+);incense, amber xtreme, bergamot;labdanum, patchouli, rose;incense, sandalwood, benzoin, pink pepper, vanilla, amber
la-petite-robe-noire;guerlain;women;Adult (25-40);almond, anise, lemon;macarons, licorice, rose;vanilla, patchouli, tea, musk
hermessence-muguet-porcelain;hermes;unisex;Adult (25-40);green notes, pear;lily-of-the-valley, hedione, neroli;animal notes, white musk
deep-forest;mancera;unisex;Mature (40+);leather, incense, cloves, agarwood (oud), bergamot, orange;violet, orange blossom, rose, patchouli;woody notes, amber, white musk, vetiver, vanilla
lola;marc-jacobs;women;Adult (25-40);pink pepper, pear, grapefruit;rose, peony, geranium;vanilla, musk, tonka bean
tropical-wood;montale;unisex;Mature (40+);passionfruit, agarwood (oud), pineapple, bergamot;bulgarian rose, violet;leather, white musk, madagascar vanilla
free;o-boticario;unisex;Mature (40+);bergamot, lemon, lavender, juniper, orange;pine tree, carnation, sage, artemisia, geranium, jasmine;cedar, oakmoss, vetiver, musk
crazy-me;paco-rabanne;unisex;Adult (25-40);wasabi;mimosa;sandalwood, spices
phantom;paco-rabanne;men;Youth (15-25);lavender, lemon zest, amalfi lemon;lavender, earthy notes, apple, smoke, patchouli;vanilla, lavender, vetiver
dhan-al-oudh-al-nokhba;rasasi;unisex;Youth (15-25);agarwood (oud), spicy notes;big strawberry, spun sugar, woody notes;agarwood (oud), musk
oud-wood-parfum;tom-ford;unisex;Adult (25-40);cardamom, pink pepper, rosemary;sandalwood, patchouli, agarwood (oud), vetiver;vanilla, tonka, amber
skins-x-vilhelm;vilhelm-parfumerie;unisex;Mature (40+);bergamot, black tea, juniper berries;leather, lavender, violet;sandalwood, papyrus, palo santo
make-the-cover-for-her;playboy;women;Youth (15-25);peach, pineapple, bergamot;jasmine sambac, lily-of-the-valley, rose;sandalwood, ambroxan, white cedar extract
harmony;oriflame;women;Adult (25-40);tropical fruits, orange blossom, bergamot;sea water, buddleia, gardenia;musk, vanilla, benzoin
urban-lovers-for-him;oriflame;men;Mature (40+);pineapple, passionfruit, grapefruit;nutmeg, african orange flower, virginia cedar;tobacco, musk, amber
vip-only;oriflame;women;Youth (15-25);raspberry, pomegranate, pear;datura, apricot blossom, orange blossom;vanilla, woody notes, patchouli
volare-magnolia;oriflame;women;Adult (25-40);rhubarb, lemon, orange blossom, citruses;magnolia, rose, jasmine;tonka bean, woody notes, musk
eucalipto;granado;men;Adult (25-40);eucalyptus, lime, bergamot;lavender, geranium, jasmine;moss, patchouli, amber
miss-4;dzintars;women;Youth (15-25);melon, apple, lily of the valley, lemon;cinnamon, magnolia, rose;musk, ambergris, osmanthus
wildbloom;banana-republic;women;Adult (25-40);guava, pear, kumquat, grapefruit;camelia, hortensia, orchid, champaca;suede, sandalwood, musk, agarwood (oud), patchouli, tonka bean
sexy-girl;bi-es;women;Adult (25-40);black currant, exotic fruits, peach, tea, mandarin orange;jasmine, peony, lily, plum;musk, vanilla, amber
crystal-peony;brocard;women;Youth (15-25);peony, citruses, eglantine rose;raspberry, violet;musk, vanilla, amber, cedar, vetiver
luybov;brocard;women;Adult (25-40);violet leaf, galbanum, orange blossom;peony, rose, magnolia, jasmine;powdery notes, musk
beauty-cafe;faberlic;women;Mature (40+);litchi, lime (linden) blossom, orange, mandarin orange, apple;ylang-ylang, peony, freesia, orris root, rose, jasmine, carnation;tonka bean, iris, white musk, amber, oakmoss
mama;faberlic;women;Youth (15-25);aldehydes, raspberry, cyclamen, freesia;caramel, vanilla, mimosa, violet, jasmine, lily-of-the-valley;powdery notes, geranium, musk, honeysuckle
chocolate-rose-oud;aaron-terence-hughes;unisex;Adult (25-40);turkish rose;cacao pod, tonka bean, madagascar vanilla;dark chocolate, agarwood (oud), patchouli, sandalwood
arrogance-pour-femme;arrogance;women;Mature (40+);white lily, bergamot, orange;orange blossom, jasmine, rose;oakmoss, musk, cedar
pulse-of-astana;aura-of-kazakhstan;unisex;Mature (40+);aldehydes, rain notes, grass, black currant;metallic notes, rose, pink pepper;woody notes, white musk, cedar
groseille-fruits-rouges;adopt-parfums;women;Youth (15-25);marmalade, red currant, black currant, raspberry;violet leaf, bergamot;white musk, patchouli
marshmallow;adopt-parfums;women;Youth (15-25);marshmallow;coconut nectar, plum;vanilla, caramel
spirit-of-the-brave;diesel;men;Adult (25-40);bergamot, galbanum;cypress, fir;tonka bean, labdanum
faconnable-femme;faconnable;women;Adult (25-40);passionfruit, peony, mandarin orange;gardenia, jasmine, heliotrope;musk, plum, vanilla
peaches-and-campfires;gallagher-fragrances;unisex;Adult (25-40);peach, black currant;smoke, balsam fir, rosemary, oregano, jasmine;saffron, cedar, patchouli, neroli, sandalwood
bukhara;gallivant;unisex;Adult (25-40);coriander, caraway, pear, bergamot;iris, clove, jasmine, apricot;saffron, musk, amber, benzoin, woody notes
dry-wood;haute-fragrance-company-hfc;men;Mature (40+);sage, calabrian bergamot, black pepper;labdanum, incense, musk;crystal amber, vetiver, patchouli
vertige;id-parfums;women;Youth (15-25);black currant, red apple, grapefruit, mandarin orange;rose, iris, freesia;sandalwood, patchouli, musk, benzoin
yin-2;jacques-fath;women;Youth (15-25);green apple, citruses;peony;praline, vanilla, cedar, musk, amber
nude-soleil;kkw-fragrance;women;Adult (25-40);cardamom, pink pepper, ambrette (musk mallow);sandalwood, rose, honeysuckle;cashmere wood, haitian vetiver, musk
